carrier_id,carrier_plan_id,zero_eighteen,nineteen_twenty,twenty_one,twenty_two,twenty_three,twenty_four,twenty_five,twenty_six,twenty_seven,twenty_eight,twenty_nine,thirty,thirty_one,thirty_two,thirty_three,thirty_four,thirty_five,thirty_six,thirty_seven,thirty_eight,thirty_nine,forty,forty_one,forty_two,forty_three,forty_four,forty_five,forty_six,forty_seven,forty_eight,forty_nine,fifty,fifty_one,fifty_two,fifty_three,fifty_four,fifty_five,fifty_six,fifty_seven,fifty_eight,fifty_nine,sixty,sixty_one,sixty_two,sixty_three,sixty_four,sixty_five_plus
12,,251.28,251.28,445.18,445.18,445.18,445.18,446.97,455.87,466.55,483.92,498.16,527.74,538.9,550.06,557.03,564.47,568.19,571.91,575.63,579.35,586.79,619.52,631.15,642.3,657.81,677.2,699.99,727.13,757.67,792.58,826.99,971.79,1014.77,1062.11,1109.99,1161.68,1213.38,1269.42,1326.01,1386.4,1416.33,1476.73,1528.96,1563.24,1606.23,1632.33,1632.33
12,,284.89,284.89,504.73,504.73,504.73,504.73,506.75,516.84,528.96,548.64,564.79,598.33,610.98,623.63,631.54,639.98,644.19,648.41,652.63,656.85,665.28,702.38,715.57,728.21,745.8,767.79,793.62,824.39,859.02,898.59,937.61,1101.77,1150.51,1204.18,1258.46,1317.07,1375.67,1439.21,1503.37,1571.84,1605.77,1674.25,1733.47,1772.33,1821.07,1850.67,1850.67
12,9504,154.48,154.48,273.69,273.69,273.69,273.69,274.79,280.26,286.83,297.5,306.26,324.45,331.31,338.17,342.46,347.03,349.32,351.6,353.89,356.18,360.75,380.87,388.02,394.88,404.41,416.33,430.34,447.03,465.81,487.26,508.42,597.44,623.87,652.97,682.41,714.18,745.96,780.42,815.21,852.34,870.74,907.87,939.98,961.05,987.48,1003.53,1003.53
12,9505,253.94,253.94,449.9,449.9,449.9,449.9,451.7,460.7,471.49,489.04,503.44,533.33,544.61,555.88,562.93,570.45,574.21,577.97,581.73,585.49,593.01,626.08,637.83,649.1,664.78,684.37,707.4,734.83,765.7,800.97,835.75,982.08,1025.52,1073.36,1121.74,1173.98,1226.22,1282.86,1340.05,1401.08,1431.32,1492.36,1545.15,1579.79,1623.23,1649.61,1649.61
12,9506,249.87,249.87,442.68,442.68,442.68,442.68,444.45,453.31,463.93,481.2,495.36,524.78,535.87,546.97,553.9,561.3,565,568.7,572.4,576.1,583.49,616.04,627.61,638.69,654.12,673.4,696.05,723.05,753.42,788.12,822.35,966.33,1009.07,1056.14,1103.75,1155.16,1206.56,1262.28,1318.55,1378.61,1408.37,1468.43,1520.37,1554.45,1597.2,1623.17,1623.17
12,9507,246.74,246.74,437.15,437.15,437.15,437.15,438.89,447.64,458.13,475.18,489.17,518.21,529.17,540.13,546.98,554.28,557.93,561.59,565.24,568.89,576.2,608.33,619.76,630.7,645.94,664.98,687.35,714,743.99,778.26,812.06,954.24,996.45,1042.93,1089.95,1140.71,1191.46,1246.5,1302.06,1361.37,1390.75,1450.06,1501.35,1535.01,1577.22,1602.87,1602.87
12,9508,313.39,313.39,555.22,555.22,555.22,555.22,557.45,568.55,581.87,603.53,621.3,658.19,672.11,686.02,694.72,704,708.64,713.28,717.92,722.56,731.83,772.65,787.16,801.07,820.41,844.59,873.01,906.87,944.95,988.48,1031.41,1211.99,1265.6,1324.64,1384.36,1448.83,1513.29,1583.19,1653.77,1729.09,1766.41,1841.74,1906.89,1949.64,2003.25,2035.82,2035.82
12,9509,299.6,299.6,530.79,530.79,530.79,530.79,532.91,543.52,556.26,576.96,593.95,629.22,642.52,655.83,664.14,673.01,677.45,681.88,686.32,690.75,699.62,738.64,752.51,765.81,784.3,807.42,834.58,866.95,903.36,944.97,986.01,1158.65,1209.9,1266.34,1323.42,1385.05,1446.68,1513.5,1580.97,1652.98,1688.66,1760.67,1822.95,1863.82,1915.07,1946.21,1946.21
12,9510,218.21,218.21,386.59,386.59,386.59,386.59,388.14,395.87,405.15,420.22,432.59,458.28,467.97,477.66,483.72,490.18,493.41,496.64,499.87,503.1,509.56,537.98,548.08,557.76,571.23,588.07,607.86,631.43,657.95,688.26,718.15,843.88,881.21,922.32,963.9,1008.78,1053.67,1102.34,1151.48,1203.92,1229.91,1282.36,1327.72,1357.49,1394.81,1417.49,1417.49
12,9511,207.47,207.47,367.56,367.56,367.56,367.56,369.03,376.39,385.21,399.54,411.3,435.73,444.94,454.15,459.91,466.06,469.13,472.2,475.27,478.34,484.48,511.5,521.11,530.31,543.12,559.13,577.94,600.36,625.57,654.39,682.8,802.35,837.84,876.93,916.46,959.14,1001.82,1048.09,1094.81,1144.68,1169.39,1219.25,1262.38,1290.68,1326.17,1347.74,1347.74
